exercise,error,p_clean,true_faults,min_angle,max_angle,rom,ecc_s,con_s,torso_lean_max,torso_sway,hip_line_min,valgus_min,elbow_drift_max,depth,heel_rise
squat,false_alarm,0.082,-,58.849,180.275,121.426,0.6,1.033,12.873,9.804,177.938,1.024,8.59,-0.209,0.127
squat,false_alarm,0.101,-,62.13,173.457,111.328,0.533,0.7,14.565,6.866,173.176,1.255,14.256,-0.243,0.049
squat,false_alarm,0.104,-,71.673,181.595,109.921,1.067,1.233,16.903,15.523,176.321,1.149,9.775,-0.17,0.058
squat,false_alarm,0.117,-,49.85,177.653,127.803,0.367,0.533,41.698,34.826,173.537,1.0,7.517,0.061,0.027
squat,false_alarm,0.117,-,69.96,168.584,98.624,1.133,0.833,22.284,13.828,173.752,0.841,13.531,-0.211,0.039
squat,false_alarm,0.121,-,44.932,161.813,116.882,0.833,0.567,28.946,27.828,180.989,1.0,9.27,0.199,0.003
squat,false_alarm,0.121,-,63.563,174.771,111.208,1.067,0.967,36.482,34.282,175.097,1.0,11.902,-0.195,0.0
squat,false_alarm,0.123,-,71.665,177.099,105.434,1.067,0.533,10.121,16.022,173.799,0.974,8.273,-0.126,0.03
squat,false_alarm,0.129,-,49.83,171.841,122.011,0.8,1.133,47.527,41.961,173.317,1.0,15.779,0.165,0.001
pushup,missed_fault,0.998,hip_sag,80.381,169.72,89.339,1.233,0.9,83.241,7.103,161.89,1.0,56.57,0.0,0.0
pushup,missed_fault,0.978,hip_sag,76.661,178.724,102.064,1.167,0.933,78.572,6.163,160.8,1.0,37.542,0.0,0.0
pushup,missed_fault,0.97,no_lockout,52.977,158.794,105.817,1.5,0.467,82.826,8.033,176.228,1.0,67.314,0.0,0.0
pushup,missed_fault,0.939,no_lockout,66.558,159.979,93.421,0.633,0.9,71.675,10.869,166.838,1.0,47.495,0.0,0.0
pushup,missed_fault,0.933,no_lockout,70.184,158.571,88.386,0.667,0.8,65.4,8.046,175.877,1.0,46.748,0.0,0.0
pushup,missed_fault,0.928,no_lockout,68.209,157.968,89.759,0.833,0.833,85.074,4.875,168.214,1.0,48.623,0.0,0.0
pushup,missed_fault,0.923,hip_sag,75.266,168.159,92.893,1.367,1.1,70.012,9.297,160.508,1.0,42.901,0.0,0.0
pushup,missed_fault,0.918,hip_pike,65.379,174.422,109.043,1.0,1.067,81.787,10.86,161.473,1.0,61.683,0.0,0.0
pushup,missed_fault,0.914,hip_pike,70.531,172.112,101.58,0.833,1.033,79.975,8.598,160.284,1.0,38.06,0.0,0.0
pushup,missed_fault,0.904,hip_sag,80.992,166.503,85.511,0.533,0.9,77.554,8.66,160.628,1.0,64.484,0.0,0.0
pushup,missed_fault,0.866,no_lockout,70.036,157.958,87.923,0.833,0.7,74.164,9.921,164.09,1.0,59.35,0.0,0.0
pushup,missed_fault,0.86,shallow_pushup,92.184,162.668,70.484,0.867,1.167,78.696,9.705,168.907,1.0,48.404,0.0,0.0
pushup,missed_fault,0.851,shallow_pushup,92.175,165.269,73.094,1.333,0.733,81.84,8.363,166.397,1.0,57.972,0.0,0.0
pushup,missed_fault,0.814,hip_pike,72.804,171.638,98.834,1.1,0.6,77.585,9.338,160.166,1.0,56.361,0.0,0.0
pushup,missed_fault,0.77,hip_sag,67.219,164.775,97.556,1.0,1.167,71.294,10.854,160.575,1.0,31.424,0.0,0.0
pushup,false_alarm,0.02,-,66.513,155.978,89.465,1.067,0.633,83.394,5.389,171.014,1.0,49.048,0.0,0.0
pushup,false_alarm,0.024,-,58.802,157.242,98.44,0.6,0.833,74.117,10.697,160.345,1.0,39.019,0.0,0.0
pushup,false_alarm,0.034,-,66.69,174.813,108.123,0.8,1.1,75.676,11.166,158.011,1.0,52.176,0.0,0.0
pushup,false_alarm,0.037,-,65.523,179.539,114.015,0.567,0.8,73.402,9.42,158.523,1.0,58.747,0.0,0.0
pushup,false_alarm,0.038,-,71.555,167.099,95.545,0.667,1.067,81.252,10.358,157.929,1.0,47.776,0.0,0.0
pushup,false_alarm,0.057,-,66.476,171.022,104.546,0.867,0.633,82.042,12.536,159.175,1.0,63.639,0.0,0.0
pushup,false_alarm,0.059,-,93.296,167.531,74.236,1.033,0.7,75.65,6.772,159.578,1.0,54.985,0.0,0.0
pushup,false_alarm,0.061,-,56.875,166.616,109.74,0.833,0.667,72.578,10.815,159.636,1.0,48.874,0.0,0.0
pushup,false_alarm,0.065,-,69.652,178.485,108.833,0.7,0.667,73.206,10.581,159.002,1.0,54.087,0.0,0.0
pushup,false_alarm,0.075,-,72.913,173.249,100.336,1.467,1.333,75.113,12.184,159.091,1.0,40.679,0.0,0.0
pushup,false_alarm,0.232,-,72.786,173.573,100.787,1.067,1.3,73.289,13.124,159.907,1.0,50.227,0.0,0.0
pushup,false_alarm,0.273,-,84.193,178.589,94.396,0.633,0.867,83.947,10.677,160.224,1.0,49.469,0.0,0.0
pushup,false_alarm,0.32,-,92.751,169.792,77.042,1.367,0.433,74.159,9.31,167.028,1.0,46.591,0.0,0.0
pushup,false_alarm,0.328,-,91.884,163.973,72.09,1.533,0.8,83.148,7.768,161.53,1.0,51.896,0.0,0.0
pushup,false_alarm,0.395,-,60.345,161.233,100.888,0.667,1.0,79.532,9.071,160.998,1.0,66.405,0.0,0.0
curl,missed_fault,0.951,elbow_drift,34.449,157.886,123.436,1.067,1.1,4.756,1.381,179.467,1.0,7.002,0.0,0.0
curl,missed_fault,0.944,elbow_drift,28.419,176.704,148.285,1.133,1.133,6.255,5.078,171.492,1.0,17.983,0.0,0.0
curl,missed_fault,0.943,elbow_drift,37.431,166.616,129.185,1.067,1.033,4.513,1.574,179.429,1.0,10.416,0.0,0.0
curl,missed_fault,0.942,elbow_drift,44.153,174.671,130.518,1.033,1.133,5.258,2.464,180.855,1.0,10.809,0.0,0.0
curl,missed_fault,0.928,torso_swing,40.374,163.697,123.323,0.8,0.933,4.391,5.432,172.921,1.0,6.319,0.0,0.0
curl,missed_fault,0.926,elbow_drift,45.674,165.205,119.531,1.133,0.767,5.973,1.745,181.042,1.0,10.711,0.0,0.0
curl,missed_fault,0.909,elbow_drift,41.977,170.745,128.768,0.967,0.7,5.705,0.683,180.711,1.0,8.003,0.0,0.0
curl,missed_fault,0.902,torso_swing,32.803,176.229,143.426,0.9,0.733,10.919,7.829,175.05,1.0,9.373,0.0,0.0
curl,missed_fault,0.899,elbow_drift,37.294,161.556,124.262,0.733,0.5,7.135,3.552,177.406,1.0,10.437,0.0,0.0
curl,missed_fault,0.896,elbow_drift,29.46,175.871,146.411,0.367,1.0,5.513,2.555,176.294,1.0,15.166,0.0,0.0
curl,missed_fault,0.891,elbow_drift,39.947,162.811,122.865,1.333,1.1,6.8,3.408,175.095,1.0,10.923,0.0,0.0
curl,missed_fault,0.887,torso_swing,39.159,170.739,131.58,0.833,0.867,8.686,6.44,172.321,1.0,13.259,0.0,0.0
curl,missed_fault,0.887,elbow_drift|torso_swing,50.333,166.516,116.183,1.167,0.833,5.52,7.697,172.264,1.0,6.644,0.0,0.0
curl,missed_fault,0.886,torso_swing,46.159,166.002,119.843,0.667,0.7,8.944,5.434,172.681,1.0,3.941,0.0,0.0
curl,missed_fault,0.881,torso_swing,29.661,169.898,140.237,0.633,0.767,7.78,9.073,171.702,1.0,6.848,0.0,0.0
curl,false_alarm,0.005,-,31.52,152.727,121.208,0.933,0.967,4.984,2.657,178.22,1.0,30.906,0.0,0.0
curl,false_alarm,0.009,-,69.5,164.672,95.172,1.3,0.867,5.478,3.844,180.694,1.0,14.357,0.0,0.0
curl,false_alarm,0.021,-,61.117,167.772,106.655,0.633,0.433,11.423,8.876,174.147,1.0,1.79,0.0,0.0
curl,false_alarm,0.033,-,51.26,151.766,100.507,1.067,0.967,12.402,11.397,168.992,1.0,8.808,0.0,0.0
curl,false_alarm,0.036,-,30.289,163.241,132.952,1.267,0.533,2.428,1.283,177.965,1.0,27.191,0.0,0.0
curl,false_alarm,0.044,-,38.316,157.049,118.733,1.2,0.767,11.394,12.609,174.069,1.0,24.72,0.0,0.0
curl,false_alarm,0.087,-,34.608,154.837,120.229,1.033,0.467,9.735,6.772,175.212,1.0,1.098,0.0,0.0
curl,false_alarm,0.142,-,44.558,171.799,127.241,1.567,0.533,11.995,10.097,171.111,1.0,8.866,0.0,0.0
curl,false_alarm,0.152,-,33.917,165.617,131.7,0.7,0.933,8.586,12.408,175.492,1.0,24.829,0.0,0.0
curl,false_alarm,0.176,-,46.055,173.393,127.338,0.667,0.867,3.209,0.475,180.191,1.0,16.027,0.0,0.0
curl,false_alarm,0.194,-,52.485,171.244,118.759,1.4,0.8,8.724,7.318,173.514,1.0,27.842,0.0,0.0
curl,false_alarm,0.216,-,35.324,175.668,140.344,1.267,0.367,4.362,6.072,174.997,1.0,8.783,0.0,0.0
curl,false_alarm,0.246,-,58.997,156.558,97.561,0.233,1.3,5.299,1.276,176.258,1.0,22.608,0.0,0.0
curl,false_alarm,0.25,-,41.899,169.393,127.494,1.1,1.0,12.574,12.049,175.351,1.0,21.531,0.0,0.0
curl,false_alarm,0.268,-,33.261,161.032,127.771,1.3,0.667,12.819,10.452,174.379,1.0,16.422,0.0,0.0
press,missed_fault,0.991,back_arch,64.955,163.264,98.309,1.033,1.1,4.529,3.496,175.737,1.0,6.042,0.0,0.0
press,missed_fault,0.966,back_arch,72.989,166.252,93.262,0.333,0.433,5.375,7.304,175.709,1.0,11.919,0.0,0.0
press,missed_fault,0.965,short_press,78.162,161.502,83.341,0.6,0.5,5.479,0.695,180.126,1.0,8.241,0.0,0.0
press,missed_fault,0.948,back_arch,75.463,177.495,102.031,0.6,0.867,9.776,9.351,175.615,1.0,24.04,0.0,0.0
press,missed_fault,0.942,short_press,58.212,160.937,102.725,1.167,0.7,5.091,1.671,177.356,1.0,10.802,0.0,0.0
press,missed_fault,0.935,back_arch,78.322,172.457,94.135,0.833,0.767,5.712,4.111,175.994,1.0,-0.173,0.0,0.0
press,missed_fault,0.934,back_arch,78.72,177.202,98.482,0.667,0.767,4.985,4.234,175.761,1.0,12.314,0.0,0.0
press,missed_fault,0.932,back_arch,88.627,176.696,88.069,1.333,0.9,7.158,6.095,171.433,1.0,15.038,0.0,0.0
press,missed_fault,0.928,back_arch,73.509,165.348,91.84,0.833,0.7,10.384,10.528,169.494,1.0,9.876,0.0,0.0
press,missed_fault,0.923,back_arch,94.363,179.524,85.16,0.733,0.6,8.139,3.768,178.159,1.0,18.878,0.0,0.0
press,missed_fault,0.922,back_arch,92.592,169.176,76.583,0.9,0.7,5.364,4.129,175.997,1.0,14.348,0.0,0.0
press,missed_fault,0.921,back_arch,59.413,165.318,105.905,0.967,1.1,6.022,6.632,170.494,1.0,11.338,0.0,0.0
press,missed_fault,0.921,back_arch,76.875,164.604,87.729,0.9,0.8,5.242,5.345,176.11,1.0,10.822,0.0,0.0
press,missed_fault,0.917,back_arch,76.12,175.695,99.575,0.567,0.567,6.527,4.318,175.873,1.0,9.291,0.0,0.0
press,missed_fault,0.916,back_arch,92.871,170.903,78.032,0.9,1.067,6.238,4.916,178.087,1.0,11.437,0.0,0.0
press,false_alarm,0.028,-,72.052,168.759,96.708,0.467,0.867,17.607,11.335,166.602,1.0,12.078,0.0,0.0
press,false_alarm,0.034,-,67.212,163.244,96.032,1.233,0.667,13.959,13.552,166.223,1.0,16.041,0.0,0.0
press,false_alarm,0.037,-,62.458,173.178,110.719,0.867,0.7,16.073,8.434,174.038,1.0,20.311,0.0,0.0
press,false_alarm,0.073,-,49.821,173.844,124.023,0.633,0.5,13.677,9.841,174.423,1.0,11.957,0.0,0.0
press,false_alarm,0.123,-,76.508,172.584,96.076,1.1,0.767,15.011,11.448,169.955,1.0,12.927,0.0,0.0
press,false_alarm,0.161,-,63.536,165.179,101.643,1.133,0.733,13.032,12.381,169.197,1.0,7.822,0.0,0.0
press,false_alarm,0.172,-,56.672,159.902,103.23,1.033,1.167,11.932,10.989,167.219,1.0,19.844,0.0,0.0
press,false_alarm,0.197,-,67.374,165.053,97.68,0.8,1.367,14.952,10.66,168.205,1.0,18.464,0.0,0.0
press,false_alarm,0.209,-,73.496,159.361,85.864,0.867,0.967,12.759,9.73,171.782,1.0,18.88,0.0,0.0
press,false_alarm,0.21,-,70.235,167.464,97.229,1.167,0.8,15.165,11.136,169.161,1.0,6.521,0.0,0.0
press,false_alarm,0.212,-,77.223,159.237,82.014,1.1,0.833,8.752,6.165,181.748,1.0,3.725,0.0,0.0
press,false_alarm,0.217,-,80.098,165.165,85.067,0.667,1.233,15.656,10.782,166.829,1.0,11.404,0.0,0.0
press,false_alarm,0.218,-,68.36,175.684,107.324,0.6,0.933,13.365,5.967,176.147,1.0,10.96,0.0,0.0
press,false_alarm,0.245,-,52.887,161.222,108.335,0.967,1.133,14.49,6.797,173.248,1.0,20.526,0.0,0.0
press,false_alarm,0.276,-,70.434,173.472,103.038,0.533,0.667,13.939,11.349,168.003,1.0,16.89,0.0,0.0
lunge,missed_fault,0.944,torso_lean_lunge,76.558,174.509,97.951,1.267,1.033,5.553,7.487,175.838,1.038,11.799,0.224,0.0
lunge,missed_fault,0.941,knee_valgus,76.587,166.427,89.84,1.233,0.8,-2.937,2.612,171.56,0.945,3.865,0.157,0.0
lunge,missed_fault,0.936,knee_valgus,81.185,173.575,92.389,0.8,0.9,3.745,4.684,172.825,1.0,9.506,0.206,0.0
lunge,missed_fault,0.935,knee_valgus,78.055,176.224,98.169,0.9,1.3,0.105,6.007,169.209,1.0,8.613,0.253,0.0
lunge,missed_fault,0.929,knee_valgus,79.444,169.419,89.975,0.9,1.133,5.876,5.364,175.291,1.0,9.486,0.239,0.0
lunge,missed_fault,0.929,knee_valgus,95.933,179.7,83.767,0.733,1.267,1.164,4.751,171.024,1.0,18.285,0.022,0.0
lunge,missed_fault,0.926,knee_valgus,81.75,175.779,94.029,0.867,0.767,8.029,4.044,171.47,1.0,8.831,0.192,0.0
lunge,missed_fault,0.926,knee_valgus,82.507,167.228,84.721,0.467,1.233,2.074,2.791,173.002,1.0,7.552,0.216,0.0
lunge,missed_fault,0.926,knee_valgus,84.655,171.056,86.402,0.9,0.867,3.63,4.544,175.872,1.0,10.093,0.18,0.0
lunge,missed_fault,0.925,knee_valgus,97.346,180.88,83.534,0.867,1.433,2.769,3.407,175.489,1.0,8.364,-0.142,0.0
lunge,missed_fault,0.924,knee_valgus,83.752,171.606,87.854,1.233,1.067,-2.983,2.151,172.686,1.0,7.229,0.266,0.0
lunge,missed_fault,0.923,knee_valgus,96.229,178.504,82.274,0.367,0.4,6.327,4.119,172.237,0.838,6.424,-0.03,0.0
lunge,missed_fault,0.92,knee_valgus,89.479,178.685,89.205,0.667,0.7,0.402,1.304,167.022,1.0,9.452,0.129,0.0
lunge,missed_fault,0.92,knee_valgus,84.529,167.97,83.441,1.2,1.133,6.397,5.5,171.006,1.0,14.597,0.167,0.0
lunge,missed_fault,0.92,knee_valgus,80.027,169.964,89.938,1.333,1.233,4.288,3.549,175.597,1.0,7.657,0.341,0.0
lunge,false_alarm,0.013,-,104.484,160.401,55.916,0.967,1.067,23.178,21.045,176.988,1.0,6.478,-0.22,0.0
lunge,false_alarm,0.076,-,106.44,172.923,66.483,1.133,0.9,7.133,5.284,173.54,0.926,8.589,-0.275,0.0
lunge,false_alarm,0.087,-,79.516,172.766,93.251,0.733,1.233,9.397,12.525,177.879,0.786,17.049,0.264,0.0
lunge,false_alarm,0.103,-,88.304,163.564,75.26,1.133,0.933,9.966,11.865,175.146,0.798,9.37,0.155,0.0
lunge,false_alarm,0.104,-,103.52,165.913,62.393,0.667,1.167,22.726,20.882,167.698,1.0,14.302,-0.259,0.0
lunge,false_alarm,0.105,-,90.805,165.721,74.916,0.6,1.2,7.547,11.893,176.395,0.79,9.88,-0.03,0.0
lunge,false_alarm,0.138,-,79.782,175.138,95.356,1.533,0.833,10.606,8.683,174.59,0.789,12.933,0.156,0.0
lunge,false_alarm,0.163,-,86.929,160.127,73.198,0.967,0.933,19.24,21.126,174.735,1.0,10.336,0.128,0.0
lunge,false_alarm,0.2,-,77.075,167.684,90.61,0.433,0.667,13.686,9.5,174.396,0.792,10.324,0.239,0.0
lunge,false_alarm,0.256,-,78.019,170.737,92.718,1.4,0.833,4.235,1.943,177.198,0.803,5.605,0.17,0.0
lunge,false_alarm,0.273,-,89.841,171.449,81.608,0.867,1.333,5.015,6.624,167.255,0.782,7.714,-0.013,0.0
lunge,false_alarm,0.284,-,106.571,168.832,62.261,1.1,0.9,9.859,12.624,170.457,1.0,11.73,-0.176,0.0
lunge,false_alarm,0.315,-,97.48,179.922,82.442,1.367,0.6,0.552,2.528,175.24,0.778,7.095,-0.06,0.0
lunge,false_alarm,0.325,-,83.827,163.712,79.885,0.9,1.4,-1.581,4.744,181.405,0.81,11.172,0.107,0.0
lunge,false_alarm,0.334,-,86.949,176.537,89.588,0.733,1.033,5.34,4.305,176.205,0.79,10.267,0.082,0.0
