exercise,error,p_clean,true_faults,min_angle,max_angle,rom,ecc_s,con_s,torso_lean_max,torso_sway,hip_line_min,valgus_min,elbow_drift_max,depth,heel_rise
squat,false_alarm,0.018,-,70.176,173.779,103.603,0.967,1.033,32.846,28.094,175.231,0.917,11.779,-0.232,0.019
squat,false_alarm,0.026,-,69.96,168.584,98.624,1.133,0.833,22.284,13.828,173.752,0.841,13.531,-0.211,0.039
squat,false_alarm,0.052,-,69.545,175.102,105.556,0.833,0.8,13.304,14.326,175.601,0.994,16.156,-0.189,0.0
squat,false_alarm,0.063,-,71.505,172.256,100.751,0.467,0.6,6.555,8.001,172.435,0.89,16.62,-0.414,0.0
squat,false_alarm,0.069,-,63.563,174.771,111.208,1.067,0.967,36.482,34.282,175.097,1.0,11.902,-0.195,0.0
squat,false_alarm,0.078,-,71.558,168.62,97.062,0.7,1.0,14.395,13.462,174.123,1.235,6.241,-0.188,0.058
squat,false_alarm,0.08,-,67.973,173.707,105.733,0.6,0.733,28.883,28.393,168.205,1.056,11.154,0.015,0.042
squat,false_alarm,0.082,-,71.665,177.099,105.434,1.067,0.533,10.121,16.022,173.799,0.974,8.273,-0.126,0.03
squat,false_alarm,0.094,-,69.969,169.868,99.899,1.567,0.5,45.354,36.338,171.891,1.0,8.111,-0.102,0.002
squat,false_alarm,0.1,-,66.919,168.407,101.489,1.2,0.667,26.423,25.654,175.375,1.023,9.903,-0.114,0.008
squat,false_alarm,0.114,-,60.213,164.767,104.554,1.2,0.9,39.885,38.58,177.771,1.0,15.107,-0.165,0.028
squat,false_alarm,0.116,-,63.497,167.31,103.813,0.833,1.033,40.684,38.233,177.093,1.0,4.818,-0.103,0.015
squat,false_alarm,0.139,-,64.278,170.048,105.77,1.067,1.133,28.202,27.348,169.7,0.922,12.995,0.02,0.0
squat,false_alarm,0.144,-,71.508,176.651,105.143,1.233,0.833,15.884,10.502,172.514,1.013,7.437,-0.137,0.0
squat,false_alarm,0.146,-,67.675,169.366,101.691,1.3,0.433,11.938,11.44,177.811,1.07,9.263,-0.253,0.0
pushup,missed_fault,0.955,hip_sag,80.381,169.72,89.339,1.233,0.9,83.241,7.103,161.89,1.0,56.57,0.0,0.0
pushup,missed_fault,0.903,no_lockout,52.977,158.794,105.817,1.5,0.467,82.826,8.033,176.228,1.0,67.314,0.0,0.0
pushup,missed_fault,0.887,no_lockout,70.184,158.571,88.386,0.667,0.8,65.4,8.046,175.877,1.0,46.748,0.0,0.0
pushup,missed_fault,0.823,no_lockout,78.724,157.36,78.636,0.967,1.1,85.136,8.088,164.941,1.0,47.351,0.0,0.0
pushup,missed_fault,0.823,no_lockout,68.209,157.968,89.759,0.833,0.833,85.074,4.875,168.214,1.0,48.623,0.0,0.0
pushup,missed_fault,0.807,no_lockout,53.855,157.681,103.826,0.7,0.933,76.636,5.79,167.457,1.0,49.647,0.0,0.0
pushup,missed_fault,0.797,no_lockout,70.036,157.958,87.923,0.833,0.7,74.164,9.921,164.09,1.0,59.35,0.0,0.0
pushup,missed_fault,0.763,no_lockout,66.558,159.979,93.421,0.633,0.9,71.675,10.869,166.838,1.0,47.495,0.0,0.0
pushup,missed_fault,0.756,no_lockout,67.674,157.015,89.341,0.467,1.067,78.181,6.053,165.527,1.0,55.561,0.0,0.0
pushup,missed_fault,0.728,no_lockout,67.29,156.903,89.613,0.733,1.267,89.262,7.296,167.005,1.0,47.552,0.0,0.0
pushup,missed_fault,0.722,shallow_pushup,92.175,165.269,73.094,1.333,0.733,81.84,8.363,166.397,1.0,57.972,0.0,0.0
pushup,missed_fault,0.613,no_lockout,85.543,157.351,71.808,0.7,0.833,68.426,4.597,174.571,1.0,43.757,0.0,0.0
pushup,missed_fault,0.611,hip_pike,65.379,174.422,109.043,1.0,1.067,81.787,10.86,161.473,1.0,61.683,0.0,0.0
pushup,missed_fault,0.604,hip_sag,76.661,178.724,102.064,1.167,0.933,78.572,6.163,160.8,1.0,37.542,0.0,0.0
pushup,missed_fault,0.592,hip_pike,60.172,165.408,105.236,0.9,1.0,79.632,6.578,159.505,1.0,63.359,0.0,0.0
pushup,false_alarm,0.085,-,66.476,171.022,104.546,0.867,0.633,82.042,12.536,159.175,1.0,63.639,0.0,0.0
pushup,false_alarm,0.114,-,69.652,178.485,108.833,0.7,0.667,73.206,10.581,159.002,1.0,54.087,0.0,0.0
pushup,false_alarm,0.136,-,66.513,155.978,89.465,1.067,0.633,83.394,5.389,171.014,1.0,49.048,0.0,0.0
pushup,false_alarm,0.145,-,66.69,174.813,108.123,0.8,1.1,75.676,11.166,158.011,1.0,52.176,0.0,0.0
pushup,false_alarm,0.149,-,72.786,173.573,100.787,1.067,1.3,73.289,13.124,159.907,1.0,50.227,0.0,0.0
pushup,false_alarm,0.159,-,72.913,173.249,100.336,1.467,1.333,75.113,12.184,159.091,1.0,40.679,0.0,0.0
pushup,false_alarm,0.179,-,84.193,178.589,94.396,0.633,0.867,83.947,10.677,160.224,1.0,49.469,0.0,0.0
pushup,false_alarm,0.182,-,71.555,167.099,95.545,0.667,1.067,81.252,10.358,157.929,1.0,47.776,0.0,0.0
pushup,false_alarm,0.184,-,80.619,177.771,97.151,0.967,0.767,67.318,10.305,160.529,1.0,51.886,0.0,0.0
pushup,false_alarm,0.187,-,83.309,170.438,87.129,1.133,0.467,78.967,11.589,160.421,1.0,55.902,0.0,0.0
pushup,false_alarm,0.209,-,56.875,166.616,109.74,0.833,0.667,72.578,10.815,159.636,1.0,48.874,0.0,0.0
pushup,false_alarm,0.211,-,80.638,180.407,99.769,1.067,1.2,73.251,11.545,159.854,1.0,40.814,0.0,0.0
pushup,false_alarm,0.242,-,58.802,157.242,98.44,0.6,0.833,74.117,10.697,160.345,1.0,39.019,0.0,0.0
pushup,false_alarm,0.295,-,93.296,167.531,74.236,1.033,0.7,75.65,6.772,159.578,1.0,54.985,0.0,0.0
pushup,false_alarm,0.342,-,80.296,171.56,91.263,0.967,0.867,80.206,11.389,161.019,1.0,52.344,0.0,0.0
curl,missed_fault,0.929,elbow_drift,34.449,157.886,123.436,1.067,1.1,4.756,1.381,179.467,1.0,7.002,0.0,0.0
curl,missed_fault,0.911,elbow_drift,51.518,177.362,125.844,0.967,1.033,3.654,0.445,181.668,1.0,15.874,0.0,0.0
curl,missed_fault,0.911,torso_swing,40.374,163.697,123.323,0.8,0.933,4.391,5.432,172.921,1.0,6.319,0.0,0.0
curl,missed_fault,0.895,elbow_drift,40.03,175.497,135.467,0.5,0.867,3.34,2.097,177.682,1.0,11.708,0.0,0.0
curl,missed_fault,0.894,elbow_drift,52.124,171.538,119.414,0.733,0.833,5.222,3.018,176.832,1.0,12.989,0.0,0.0
curl,missed_fault,0.887,elbow_drift,44.153,174.671,130.518,1.033,1.133,5.258,2.464,180.855,1.0,10.809,0.0,0.0
curl,missed_fault,0.883,elbow_drift,53.064,161.25,108.186,1.0,1.0,2.623,1.164,175.664,1.0,12.831,0.0,0.0
curl,missed_fault,0.883,elbow_drift,37.431,166.616,129.185,1.067,1.033,4.513,1.574,179.429,1.0,10.416,0.0,0.0
curl,missed_fault,0.883,elbow_drift,30.489,172.331,141.842,0.6,0.767,3.227,3.32,177.11,1.0,13.677,0.0,0.0
curl,missed_fault,0.88,elbow_drift,29.46,175.871,146.411,0.367,1.0,5.513,2.555,176.294,1.0,15.166,0.0,0.0
curl,missed_fault,0.877,elbow_drift,54.251,159.305,105.054,0.633,1.1,6.712,4.493,174.373,1.0,19.424,0.0,0.0
curl,missed_fault,0.864,torso_swing,39.159,170.739,131.58,0.833,0.867,8.686,6.44,172.321,1.0,13.259,0.0,0.0
curl,missed_fault,0.862,elbow_drift,39.947,162.811,122.865,1.333,1.1,6.8,3.408,175.095,1.0,10.923,0.0,0.0
curl,missed_fault,0.862,elbow_drift,41.977,170.745,128.768,0.967,0.7,5.705,0.683,180.711,1.0,8.003,0.0,0.0
curl,missed_fault,0.861,torso_swing,58.284,169.79,111.506,1.267,0.767,6.051,6.681,171.665,1.0,14.049,0.0,0.0
curl,false_alarm,0.001,-,69.5,164.672,95.172,1.3,0.867,5.478,3.844,180.694,1.0,14.357,0.0,0.0
curl,false_alarm,0.045,-,51.26,151.766,100.507,1.067,0.967,12.402,11.397,168.992,1.0,8.808,0.0,0.0
curl,false_alarm,0.08,-,38.316,157.049,118.733,1.2,0.767,11.394,12.609,174.069,1.0,24.72,0.0,0.0
curl,false_alarm,0.103,-,31.52,152.727,121.208,0.933,0.967,4.984,2.657,178.22,1.0,30.906,0.0,0.0
curl,false_alarm,0.105,-,44.558,171.799,127.241,1.567,0.533,11.995,10.097,171.111,1.0,8.866,0.0,0.0
curl,false_alarm,0.127,-,61.117,167.772,106.655,0.633,0.433,11.423,8.876,174.147,1.0,1.79,0.0,0.0
curl,false_alarm,0.136,-,63.704,154.452,90.748,1.0,1.0,6.204,9.134,172.302,1.0,9.008,0.0,0.0
curl,false_alarm,0.167,-,52.759,166.33,113.571,0.967,1.0,11.211,10.351,176.914,1.0,17.819,0.0,0.0
curl,false_alarm,0.179,-,33.261,161.032,127.771,1.3,0.667,12.819,10.452,174.379,1.0,16.422,0.0,0.0
curl,false_alarm,0.181,-,53.689,152.309,98.62,0.8,1.067,4.083,1.527,177.559,1.0,11.784,0.0,0.0
curl,false_alarm,0.189,-,34.664,167.656,132.992,0.833,1.0,12.278,11.944,175.848,1.0,8.93,0.0,0.0
curl,false_alarm,0.19,-,41.899,169.393,127.494,1.1,1.0,12.574,12.049,175.351,1.0,21.531,0.0,0.0
curl,false_alarm,0.207,-,41.326,172.333,131.007,0.867,0.9,12.337,10.556,178.205,1.0,14.994,0.0,0.0
curl,false_alarm,0.21,-,60.5,171.759,111.259,1.167,0.867,8.253,10.823,172.807,1.0,26.072,0.0,0.0
curl,false_alarm,0.211,-,55.596,171.408,115.812,1.333,1.1,10.863,9.567,177.871,1.0,1.445,0.0,0.0
press,missed_fault,0.959,back_arch,54.786,163.551,108.765,0.867,1.533,5.452,4.591,177.33,1.0,14.831,0.0,0.0
press,missed_fault,0.933,short_press,78.162,161.502,83.341,0.6,0.5,5.479,0.695,180.126,1.0,8.241,0.0,0.0
press,missed_fault,0.931,back_arch,77.956,169.38,91.424,0.833,1.167,6.524,4.592,177.5,1.0,15.861,0.0,0.0
press,missed_fault,0.928,back_arch,71.542,172.495,100.953,1.3,0.967,7.071,4.265,179.654,1.0,14.383,0.0,0.0
press,missed_fault,0.927,back_arch,64.955,163.264,98.309,1.033,1.1,4.529,3.496,175.737,1.0,6.042,0.0,0.0
press,missed_fault,0.917,short_press,58.212,160.937,102.725,1.167,0.7,5.091,1.671,177.356,1.0,10.802,0.0,0.0
press,missed_fault,0.912,back_arch,92.592,169.176,76.583,0.9,0.7,5.364,4.129,175.997,1.0,14.348,0.0,0.0
press,missed_fault,0.912,back_arch,73.926,166.249,92.322,1.2,0.867,6.812,3.91,178.257,1.0,17.239,0.0,0.0
press,missed_fault,0.909,back_arch,79.729,171.241,91.511,1.333,0.633,7.637,4.041,177.879,1.0,10.078,0.0,0.0
press,missed_fault,0.909,back_arch,78.72,177.202,98.482,0.667,0.767,4.985,4.234,175.761,1.0,12.314,0.0,0.0
press,missed_fault,0.905,back_arch,88.649,163.687,75.038,1.167,0.967,7.29,4.466,178.648,1.0,7.541,0.0,0.0
press,missed_fault,0.905,back_arch,78.322,172.457,94.135,0.833,0.767,5.712,4.111,175.994,1.0,-0.173,0.0,0.0
press,missed_fault,0.899,back_arch,84.433,175.514,91.081,1.367,0.733,7.554,4.912,179.208,1.0,18.198,0.0,0.0
press,missed_fault,0.895,back_arch,66.345,165.222,98.877,1.2,0.833,6.697,4.104,175.561,1.0,22.237,0.0,0.0
press,missed_fault,0.895,back_arch,63.808,162.543,98.736,1.267,0.633,8.286,4.191,180.933,1.0,18.838,0.0,0.0
press,false_alarm,0.004,-,72.052,168.759,96.708,0.467,0.867,17.607,11.335,166.602,1.0,12.078,0.0,0.0
press,false_alarm,0.071,-,67.212,163.244,96.032,1.233,0.667,13.959,13.552,166.223,1.0,16.041,0.0,0.0
press,false_alarm,0.139,-,80.098,165.165,85.067,0.667,1.233,15.656,10.782,166.829,1.0,11.404,0.0,0.0
press,false_alarm,0.168,-,56.672,159.902,103.23,1.033,1.167,11.932,10.989,167.219,1.0,19.844,0.0,0.0
press,false_alarm,0.173,-,70.434,173.472,103.038,0.533,0.667,13.939,11.349,168.003,1.0,16.89,0.0,0.0
press,false_alarm,0.179,-,57.482,172.279,114.797,0.6,0.733,14.027,11.151,168.712,1.0,17.734,0.0,0.0
press,false_alarm,0.2,-,64.974,176.048,111.074,1.0,1.1,13.561,11.324,168.46,1.0,26.393,0.0,0.0
press,false_alarm,0.213,-,55.478,174.228,118.751,0.9,0.933,12.7,11.825,169.138,1.0,21.407,0.0,0.0
press,false_alarm,0.227,-,70.235,167.464,97.229,1.167,0.8,15.165,11.136,169.161,1.0,6.521,0.0,0.0
press,false_alarm,0.262,-,73.496,159.361,85.864,0.867,0.967,12.759,9.73,171.782,1.0,18.88,0.0,0.0
press,false_alarm,0.297,-,77.223,159.237,82.014,1.1,0.833,8.752,6.165,181.748,1.0,3.725,0.0,0.0
press,false_alarm,0.299,-,67.374,165.053,97.68,0.8,1.367,14.952,10.66,168.205,1.0,18.464,0.0,0.0
press,false_alarm,0.3,-,63.536,165.179,101.643,1.133,0.733,13.032,12.381,169.197,1.0,7.822,0.0,0.0
press,false_alarm,0.302,-,76.508,172.584,96.076,1.1,0.767,15.011,11.448,169.955,1.0,12.927,0.0,0.0
press,false_alarm,0.338,-,61.88,174.201,112.321,0.633,1.167,12.473,9.025,168.094,1.0,12.463,0.0,0.0
lunge,missed_fault,0.991,knee_valgus,78.141,174.073,95.932,1.133,1.167,3.505,2.298,179.065,0.831,7.829,0.257,0.0
lunge,missed_fault,0.99,knee_valgus,80.251,176.275,96.023,1.4,0.767,15.283,14.025,177.644,1.0,9.288,0.142,0.0
lunge,missed_fault,0.99,torso_lean_lunge,76.558,174.509,97.951,1.267,1.033,5.553,7.487,175.838,1.038,11.799,0.224,0.0
lunge,missed_fault,0.986,knee_valgus,77.3,162.585,85.285,1.4,0.9,7.303,4.263,178.152,1.0,5.605,0.258,0.0
lunge,missed_fault,0.985,knee_valgus,80.027,169.964,89.938,1.333,1.233,4.288,3.549,175.597,1.0,7.657,0.341,0.0
lunge,missed_fault,0.984,knee_valgus,83.752,171.606,87.854,1.233,1.067,-2.983,2.151,172.686,1.0,7.229,0.266,0.0
lunge,missed_fault,0.984,torso_lean_lunge,75.49,164.96,89.47,1.5,0.6,11.223,8.094,176.902,0.867,13.428,0.29,0.0
lunge,missed_fault,0.983,knee_valgus,85.69,163.056,77.366,1.067,0.7,0.8,0.726,178.613,0.827,8.488,0.145,0.0
lunge,missed_fault,0.982,knee_valgus,84.529,167.97,83.441,1.2,1.133,6.397,5.5,171.006,1.0,14.597,0.167,0.0
lunge,missed_fault,0.981,knee_valgus,91.377,172.273,80.896,1.333,0.433,4.323,3.857,171.518,1.0,5.746,0.171,0.0
lunge,missed_fault,0.979,knee_valgus,81.185,173.575,92.389,0.8,0.9,3.745,4.684,172.825,1.0,9.506,0.206,0.0
lunge,missed_fault,0.977,knee_valgus,78.439,162.468,84.029,0.533,0.933,3.847,5.3,181.499,1.0,14.835,0.256,0.0
lunge,missed_fault,0.976,knee_valgus,81.75,175.779,94.029,0.867,0.767,8.029,4.044,171.47,1.0,8.831,0.192,0.0
lunge,missed_fault,0.975,knee_valgus,76.986,170.744,93.758,1.333,0.667,11.537,10.066,178.679,1.0,2.68,0.272,0.0
lunge,missed_fault,0.973,knee_valgus,75.038,176.342,101.304,0.733,0.933,9.652,7.584,173.548,1.0,12.787,0.314,0.0
lunge,false_alarm,0.01,-,105.576,163.184,57.608,1.2,0.9,10.295,8.646,170.779,1.0,8.418,-0.33,0.0
lunge,false_alarm,0.014,-,77.075,167.684,90.61,0.433,0.667,13.686,9.5,174.396,0.792,10.324,0.239,0.0
lunge,false_alarm,0.018,-,86.929,160.127,73.198,0.967,0.933,19.24,21.126,174.735,1.0,10.336,0.128,0.0
lunge,false_alarm,0.019,-,102.558,167.107,64.55,1.0,1.367,19.683,19.956,177.489,1.0,8.361,-0.241,0.0
lunge,false_alarm,0.022,-,103.52,165.913,62.393,0.667,1.167,22.726,20.882,167.698,1.0,14.302,-0.259,0.0
lunge,false_alarm,0.023,-,106.571,168.832,62.261,1.1,0.9,9.859,12.624,170.457,1.0,11.73,-0.176,0.0
lunge,false_alarm,0.029,-,105.977,169.772,63.795,1.0,0.5,5.178,5.499,178.07,1.0,10.312,-0.222,0.0
lunge,false_alarm,0.03,-,104.484,160.401,55.916,0.967,1.067,23.178,21.045,176.988,1.0,6.478,-0.22,0.0
lunge,false_alarm,0.031,-,106.44,172.923,66.483,1.133,0.9,7.133,5.284,173.54,0.926,8.589,-0.275,0.0
lunge,false_alarm,0.034,-,82.815,162.033,79.218,0.667,0.8,10.166,8.565,174.52,0.823,12.328,0.182,0.0
lunge,false_alarm,0.038,-,76.941,160.66,83.719,0.367,0.8,1.696,4.643,173.09,1.0,9.337,0.381,0.0
lunge,false_alarm,0.039,-,89.703,168.644,78.941,0.567,0.6,16.483,19.915,174.36,1.0,2.987,0.002,0.0
lunge,false_alarm,0.04,-,105.52,168.175,62.654,1.433,1.133,7.126,9.348,173.761,1.0,9.867,-0.24,0.0
lunge,false_alarm,0.047,-,106.042,162.515,56.474,1.4,0.6,14.581,15.011,174.863,1.0,14.93,-0.312,0.0
lunge,false_alarm,0.055,-,79.782,175.138,95.356,1.533,0.833,10.606,8.683,174.59,0.789,12.933,0.156,0.0
